Country Name,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Armenia,ARM,,2.5,2.5,,,3,3.1,2.9,2.9,3,2.9,2.7,2.6,2.63,34,36,37,35
Azerbaijan,AZE,,1.7,1.5,2,2,1.8,1.9,2.2,2.4,2.1,1.9,2.3,2.4,2.38,27,28,29,29
Belarus,BLR,3.9,3.4,4.1,,4.8,4.2,3.3,2.6,2.1,2.1,2,2.4,2.5,2.42,31,29,31,32
Estonia,EST,5.7,5.7,5.7,5.6,5.6,5.5,6,6.4,6.7,6.5,6.6,6.6,6.5,6.35,64,68,69,70
Georgia,GEO,,2.3,,,2.4,1.8,2,2.3,2.8,3.4,3.9,4.1,3.8,4.13,52,49,52,52
Kazakhstan,KAZ,,2.3,3,2.7,2.3,2.4,2.2,2.6,2.6,2.1,2.2,2.7,2.9,2.69,28,26,29,28
Kyrgyz Republic,KGZ,,2.2,,,,,,,,,,,,,,,,
Lithuania,LTU,,3.8,4.1,4.8,4.8,4.7,4.6,4.8,4.8,4.8,4.6,4.9,5,4.75,54,57,58,61
Latvia,LVA,2.7,3.4,3.4,3.4,3.7,3.8,4,4.2,4.7,4.8,5,4.5,4.3,4.19,49,53,55,55
Moldova,MDA,,2.6,2.6,3.1,2.1,2.4,2.3,2.9,3.2,,2.9,3.3,2.9,2.88,36,35,35,33
Russian Federation,RUS,2.4,2.4,2.1,2.3,2.7,2.7,2.8,2.4,2.5,2.3,2.1,2.2,2.1,2.45,28,28,27,29
Tajikistan,TJK,,,,,,1.8,2,2.1,2.2,2.1,,2,2.1,2.27,22,22,23,26
Turkmenistan,TKM,,,,,,,2,1.8,2.2,2,1.8,1.8,1.6,1.6,17,17,17,18
Ukraine,UKR,2.8,2.6,1.5,2.1,2.4,2.3,2.2,2.6,2.8,2.7,2.5,2.2,2.4,2.3,26,25,26,27
Uzbekistan,UZB,,1.8,2.4,2.7,2.9,2.4,2.3,2.2,2.1,1.7,1.8,1.7,1.6,1.62,17,17,18,19
European Union,EUU,7.553333333,7.58,7.573333333,7.546666667,7.56,7.706666667,6.584,6.672,6.744,6.514814815,6.477777778,6.355555556,6.3,6.263703704,63.66666667,63.28571429,64.21428571,65.35714286
World,WLD,4.887058824,4.604040404,4.758888889,4.761538462,4.557843137,4.223308271,4.16369863,4.077987421,4.091411043,3.993333333,4.022222222,4.031111111,4.007865169,4.029344262,43.26704545,42.65536723,43.18857143,42.57142857
